FileName,SPDXID,LicenseConcluded,LicenseComment,LicenseInfoInFile,FileCopyrightText
aardvark-py-2014.license,SPDXRef-item3975,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
abrms.license,SPDXRef-item4206,NOASSERTION,,"      
  LicenseRef-scancode-abrms",NOASSERTION
abstyles.license,SPDXRef-item4034,NOASSERTION,,"  
  Abstyles AND   
  Linux-man-pages-copyleft-2-para",NOASSERTION
ac3filter.license,SPDXRef-item4627,NOASSERTION,,"      
  LicenseRef-scancode-ac3filter AND   
  GPL-2.0-only",NOASSERTION
accellera-systemc.license,SPDXRef-item5030,NOASSERTION,,"      
  LicenseRef-scancode-free-unknown AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense AND   
  LicenseRef-fossology-Non-profit AND       
  LicenseRef-scancode-accellera-systemc",NOASSERTION
acdl-1.0.license,SPDXRef-item3009,NOASSERTION,,"  
  LicenseRef-fossology-ACDL AND   
  CDL-1.0",NOASSERTION
ace-tao.license,SPDXRef-item4710,NOASSERTION,,"  
  LicenseRef-fossology-ACE AND   
  DOC",NOASSERTION
acm-sla.license,SPDXRef-item3249,NOASSERTION,,"      
  LicenseRef-scancode-proprietary-license AND       
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
acroname-bdk.license,SPDXRef-item2879,NOASSERTION,,"  
  LGPL-2.1-only AND       
  LicenseRef-scancode-acroname-bdk",NOASSERTION
activestate-community-2012.license,SPDXRef-item4563,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-activestate-community-2012 AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
activestate-community.license,SPDXRef-item4065,NOASSERTION,,"      
  LicenseRef-scancode-activestate-community",NOASSERTION
activestate-komodo-edit.license,SPDXRef-item3154,NOASSERTION,,"  
  MPL-1.1 AND   
  LicenseRef-fossology-MPL-EULA-2.0 AND       
  LicenseRef-scancode-activestate-komodo-edit AND   
  LicenseRef-fossology-MPL",NOASSERTION
actuate-birt-ihub-ftype-sla.license,SPDXRef-item4930,NOASSERTION,,"  
  LicenseRef-fossology-Non-commercial AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-actuate-birt-ihub-ftype-sla",NOASSERTION
ada-linking-exception.license,SPDXRef-item4976,NOASSERTION,,"  
  GNAT-exception AND   
  GPL-2.0-or-later AND       
  LicenseRef-scancode-ada-linking-exception",NOASSERTION
adacore-doc.license,SPDXRef-item4536,NOASSERTION,,"  
  DOC AND   
  LicenseRef-fossology-Mitre AND   
  AdaCore-doc",NOASSERTION
adapt-1.0.license,SPDXRef-item3016,NOASSERTION,,"  
  APL-1.0 AND       
  LicenseRef-scancode-free-unknown AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
adaptec-downloadable.license,SPDXRef-item3483,NOASSERTION,,"  
  LicenseRef-fossology-Adaptec.RESTRICTED AND       
  LicenseRef-scancode-adaptec-downloadable",NOASSERTION
adaptec-eula.license,SPDXRef-item3228,NOASSERTION,,"  
  LicenseRef-fossology-Adaptec AND   
  LicenseRef-fossology-Restricted-rights AND       
  LicenseRef-scancode-adaptec-eula AND   
  LicenseRef-fossology-UnclassifiedLicense",NOASSERTION
adcolony-tos-2022.license,SPDXRef-item5164,NOASSERTION,,"      
  LicenseRef-scancode-public-domain AND   
  LicenseRef-fossology-Public-domain AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
addthis-mobile-sdk-1.0.license,SPDXRef-item4153,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-addthis-mobile-sdk-1.0",NOASSERTION
adi-bsd.license,SPDXRef-item4825,NOASSERTION,,"  
  BSD-3-Clause AND   
  BSD-3-Clause-Clear AND   
  GPL-3.0-only AND   
  GPL-2.0-only AND       
  LicenseRef-scancode-adi-bsd AND   
  BSD-3-Clause-HP",NOASSERTION
adobe-acrobat-reader-eula.license,SPDXRef-item2641,NOASSERTION,,"      
  LicenseRef-scancode-adobe-acrobat-reader-eula AND   
  LicenseRef-fossology-Adobe",NOASSERTION
adobe-air-sdk-2014.license,SPDXRef-item4098,NOASSERTION,,"      
  LicenseRef-scancode-adobe-air-sdk-2014 AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
adobe-air-sdk.license,SPDXRef-item3095,NOASSERTION,,"  
  LicenseRef-fossology-Non-commercial AND       
  LicenseRef-scancode-adobe-air-sdk",NOASSERTION
adobe-color-profile-bundling.license,SPDXRef-item3695,NOASSERTION,,"  
  LicenseRef-fossology-Adobe-EULA AND       
  LicenseRef-scancode-adobe-color-profile-bundling",NOASSERTION
adobe-color-profile-license.license,SPDXRef-item5046,NOASSERTION,,"      
  LicenseRef-scancode-adobe-color-profile-license AND   
  LicenseRef-fossology-Adobe-EULA AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
adobe-dng-sdk.license,SPDXRef-item3116,NOASSERTION,,"  
  LicenseRef-fossology-Adobe-DNG AND       
  LicenseRef-scancode-adobe-dng-sdk AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
adobe-dng-spec-patent.license,SPDXRef-item4011,NOASSERTION,,"      
  LicenseRef-scancode-adobe-dng-spec-patent",NOASSERTION
adobe-eula.license,SPDXRef-item2655,NOASSERTION,,"      
  LicenseRef-scancode-proprietary-license AND   
  LicenseRef-fossology-UnclassifiedLicense AND       
  LicenseRef-scancode-adobe-eula",NOASSERTION
adobe-flash-player-eula-21.0.license,SPDXRef-item2739,NOASSERTION,,"  
  LicenseRef-fossology-Adobe AND       
  LicenseRef-scancode-adobe-flash-player-eula-21.0",NOASSERTION
adobe-flex-4-sdk.license,SPDXRef-item4233,NOASSERTION,,"  
  LicenseRef-fossology-Non-commercial AND       
  LicenseRef-scancode-adobe-flex-4-sdk AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
adobe-flex-sdk.license,SPDXRef-item4697,NOASSERTION,,"  
  LicenseRef-fossology-Adobe-EULA AND       
  LicenseRef-scancode-adobe-flex-sdk",NOASSERTION
adobe-general-tou.license,SPDXRef-item2828,NOASSERTION,,"      
  LicenseRef-scancode-adobe-general-tou AND   
  LicenseRef-fossology-Non-commercial",NOASSERTION
adobe-glyph.license,SPDXRef-item4753,NOASSERTION,,"  
  Adobe-Glyph",NOASSERTION
adobe-indesign-sdk.license,SPDXRef-item4156,NOASSERTION,,"  
  LicenseRef-fossology-GPL AND   
  LicenseRef-fossology-LGPL AND       
  LicenseRef-scancode-adobe-indesign-sdk",NOASSERTION
adobe-postscript.license,SPDXRef-item3925,NOASSERTION,,"      
  LicenseRef-scancode-adobe-postscript AND   
  LicenseRef-fossology-Adobe",NOASSERTION
adobe-scl.license,SPDXRef-item4220,NOASSERTION,,"  
  Adobe-2006",NOASSERTION
adobe-utopia.license,SPDXRef-item3205,NOASSERTION,,"      
  LicenseRef-scancode-other-permissive AND   
  LicenseRef-fossology-UnclassifiedLicense AND   
  Adobe-Utopia",NOASSERTION
adrian.license,SPDXRef-item4123,NOASSERTION,,"      
  LicenseRef-scancode-adrian",NOASSERTION
adsl.license,SPDXRef-item4013,NOASSERTION,,"  
  ADSL",NOASSERTION
aes-128-3.0.license,SPDXRef-item5020,NOASSERTION,,"      
  LicenseRef-scancode-public-domain AND   
  LicenseRef-fossology-Public-domain AND       
  LicenseRef-scancode-aes-128-3.0",NOASSERTION
afl-1.1.license,SPDXRef-item4832,NOASSERTION,,"  
  AFL-1.1 AND   
  AFL-2.1 AND       
  LicenseRef-scancode-unknown-license-reference AND       
  LicenseRef-scancode-free-unknown",NOASSERTION
afl-1.2.license,SPDXRef-item4480,NOASSERTION,,"  
  AFL-2.1 AND       
  LicenseRef-scancode-free-unknown AND   
  AFL-1.2 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
afl-2.0.license,SPDXRef-item4744,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  AFL-2.1 AND   
  AFL-2.0 AND       
  LicenseRef-scancode-free-unknown",NOASSERTION
afl-2.1.license,SPDXRef-item4556,NOASSERTION,,"  
  AFL-2.1 AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
afl-3-0-php.license,SPDXRef-item4663,NOASSERTION,,"  
  AFL-3.0",NOASSERTION
afl-3.0.license,SPDXRef-item3002,NOASSERTION,,"      
  LicenseRef-scancode-unknown-license-reference AND   
  AFL-3.0 AND   
  AFL-2.1",NOASSERTION
afmparse.license,SPDXRef-item4886,NOASSERTION,,"  
  Afmparse",NOASSERTION
afpl-8.0.license,SPDXRef-item4883,NOASSERTION,,"  
  Aladdin",NOASSERTION
afpl-9.0.license,SPDXRef-item3287,NOASSERTION,,"  
  Aladdin AND       
  LicenseRef-scancode-afpl-9.0",NOASSERTION
agentxpp.license,SPDXRef-item3134,NOASSERTION,,"  
  LicenseRef-fossology-Public-domain AND       
  LicenseRef-scancode-agentxpp AND       
  LicenseRef-scancode-unknown-license-reference",NOASSERTION
agere-bsd.license,SPDXRef-item2727,NOASSERTION,,"      
  LicenseRef-scancode-free-unknown AND   
  LicenseRef-fossology-BSD-style AND   
  BSD-3-Clause-HP AND       
  LicenseRef-scancode-agere-bsd AND   
  BSD-3-Clause",NOASSERTION
agere-sla.license,SPDXRef-item3040,NOASSERTION,,"  
  LicenseRef-fossology-Agere AND   
  LicenseRef-fossology-Agere-EULA AND       
  LicenseRef-scancode-agere-sla",NOASSERTION
