Files,Scanner Results
aardvark-py-2014.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
abrms.license,No_license_found [N]; LicenseRef-scancode-abrms [Sc: 100%]
abstyles.license,Abstyles [N][Sc: 100%]; Linux-man-pages-copyleft-2-para [M: 89%]
ac3filter.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-ac3filter [Sc: 100%]
accellera-systemc.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-accellera-systemc [Sc: 100%]
acdl-1.0.license,ACDL [N]; CDL-1.0 [M: 99%][Sc: 100%]
ace-tao.license,ACE [N][M: 98%]; DOC [Sc: 100%]
acm-sla.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
acroname-bdk.license,LGPL-2.1-only [N]; LicenseRef-scancode-acroname-bdk [Sc: 100%]
activestate-community-2012.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-activestate-community-2012 [Sc: 100%]
activestate-community.license,No_license_found [N]; LicenseRef-scancode-activestate-community [Sc: 100%]
activestate-komodo-edit.license,MPL [N]; MPL-EULA-2.0 [M: 90%]; MPL-1.1 [Sc: 57%]; LicenseRef-scancode-activestate-komodo-edit [Sc: 100%]
actuate-birt-ihub-ftype-sla.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-actuate-birt-ihub-ftype-sla [Sc: 100%]
ada-linking-exception.license,GPL-2.0-or-later [N][Sc: 50%]; GNAT-exception [M: 100%]; LicenseRef-scancode-ada-linking-exception [Sc: 100%]
adacore-doc.license,Mitre [N]; AdaCore-doc [M: 100%]; DOC [Sc: 100%]
adapt-1.0.license,APL-1.0 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
adaptec-downloadable.license,Adaptec.RESTRICTED [N]; LicenseRef-scancode-adaptec-downloadable [Sc: 100%]
adaptec-eula.license,Restricted-rights [N]; UnclassifiedLicense [N]; Adaptec [M: 96%]; LicenseRef-scancode-adaptec-eula [Sc: 100%]
adcolony-tos-2022.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
addthis-mobile-sdk-1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-addthis-mobile-sdk-1.0 [Sc: 100%]
adi-bsd.license,BSD-3-Clause [N][Sc: 99%]; GPL-2.0-only [N][Sc: 100%]; BSD-3-Clause-HP [M: 73%]; BSD-3-Clause-Clear [Sc: 100%]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-adi-bsd [Sc: 100%]
adobe-acrobat-reader-eula.license,Adobe [N]; LicenseRef-scancode-adobe-acrobat-reader-eula [Sc: 100%]
adobe-air-sdk-2014.license,Non-commercial [N]; LicenseRef-scancode-adobe-air-sdk-2014 [Sc: 100%]
adobe-air-sdk.license,Non-commercial [N]; LicenseRef-scancode-adobe-air-sdk [Sc: 100%]
adobe-color-profile-bundling.license,Adobe-EULA [N]; LicenseRef-scancode-adobe-color-profile-bundling [Sc: 100%]
adobe-color-profile-license.license,Adobe-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-adobe-color-profile-license [Sc: 100%]
adobe-dng-sdk.license,Adobe-DNG [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-adobe-dng-sdk [Sc: 100%]
adobe-dng-spec-patent.license,No_license_found [N]; LicenseRef-scancode-adobe-dng-spec-patent [Sc: 100%]
adobe-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-adobe-eula [Sc: 100%]
adobe-flash-player-eula-21.0.license,Adobe [N]; LicenseRef-scancode-adobe-flash-player-eula-21.0 [Sc: 100%]
